"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5","setup","Default Suite","2025-11-14","broken","2025-11-14","tests.TcOfLogin","Vodafone-eshop","tests.TcOfLogin","setup"
"","77886","testLoginAndHomePageDisplay","Default Suite","2025-11-15","passed","2025-11-15","tests.TcOfLogin","Vodafone-eshop","tests.TcOfLogin","testLoginAndHomePageDisplay"
"","4785","testLoginAndAddProductsToCart","Default Suite","2025-11-15","broken","2025-11-15","tests.TcOfLogin","Vodafone-eshop","tests.TcOfLogin","testLoginAndAddProductsToCart"
"","52471","testLoginAddProductsAndSearch","Default Suite","2025-11-15","broken","2025-11-15","tests.TcOfLogin","Vodafone-eshop","tests.TcOfLogin","testLoginAddProductsAndSearch"
"","1","initialize","Default Suite","2025-11-15","broken","2025-11-15","tests.TcOfLogin","Vodafone-eshop","tests.TcOfLogin","initialize"
"","114281","testLoginAndAddProducts","Default Suite","2025-11-15","passed","2025-11-15","tests.TcOfLogin","Vodafone-eshop","tests.TcOfLogin","testLoginAndAddProducts"
"","66712","testLoginAndAddFirstProduct","Default Suite","2025-11-15","broken","2025-11-15","tests.TcOfLogin","Vodafone-eshop","tests.TcOfLogin","testLoginAndAddFirstProduct"
"","1","testLoginAndSearchProduct","Default Suite","2025-11-15","skipped","2025-11-15","tests.TcOfLogin","Vodafone-eshop","tests.TcOfLogin","testLoginAndSearchProduct"
"","62421","testLoginAndAddSingleProduct","Default Suite","2025-11-15","passed","2025-11-15","tests.TcOfLogin","Vodafone-eshop","tests.TcOfLogin","testLoginAndAddSingleProduct"
"","1315","testStaticLogin","Default Suite","2025-11-14","passed","2025-11-14","tests.TcOfLogin","Vodafone-eshop","tests.TcOfLogin","testStaticLogin"
"","2437","loginTest","Default Suite","2025-11-14","broken","2025-11-14","tests.TcOfLogin","Vodafone-eshop","tests.TcOfLogin","loginTest"
